experiment,block,n_factors,item,communality,uniqueness
Experiment 1 (0306),interaction,1,content_control,0.4236727645405318,0.5880928105570481
Experiment 1 (0306),interaction,1,interface_exploration,0.3090434998670096,0.594268292411179
Experiment 1 (0306),interaction,1,interface_interaction,0.1980114182462462,0.3706795001860015
Experiment 1 (0306),interaction,1,interface_responsiveness,0.27006294145132925,0.5207362891452968
Experiment 1 (0306),interaction,1,interface_sensitivity,0.23167521112560038,0.34172960693609544
Experiment 1 (0306),interaction,1,navigation_control,0.2309520570349435,0.4488065523226987
Experiment 1 (0306),interaction,1,pace_control,0.16663560585731804,0.422980418070233
Experiment 1 (0306),interaction,1,personal_conversation,0.12953688313917747,0.2997671853416949
Experiment 1 (0306),interaction,1,user_communication,0.04388762206416535,0.25464646299317545
Experiment 1 (0306),interaction,2,content_control,0.8013276291357141,0.2118666645118913
Experiment 1 (0306),interaction,2,interface_exploration,0.30442080789505804,0.5990165539743368
Experiment 1 (0306),interaction,2,interface_interaction,0.22600758046359237,0.3424786448097368
Experiment 1 (0306),interaction,2,interface_responsiveness,0.2727765892370755,0.5179533174317249
Experiment 1 (0306),interaction,2,interface_sensitivity,0.23395906184646803,0.339181113532947
Experiment 1 (0306),interaction,2,navigation_control,0.24387650766829594,0.435972190566089
Experiment 1 (0306),interaction,2,pace_control,0.1626063650169248,0.4270627242417542
Experiment 1 (0306),interaction,2,personal_conversation,0.17842355409221605,0.25073407391762603
Experiment 1 (0306),interaction,2,user_communication,0.05832635217813696,0.2401687497934978
Experiment 1 (0306),interaction,3,content_control,0.6553531479665909,0.3580404180022807
Experiment 1 (0306),interaction,3,interface_exploration,0.4075378071016556,0.4954839106857202
Experiment 1 (0306),interaction,3,interface_interaction,0.2191635097550923,0.3492876235208471
Experiment 1 (0306),interaction,3,interface_responsiveness,0.3542135184442729,0.4368593444096419
Experiment 1 (0306),interaction,3,interface_sensitivity,0.24147680013285075,0.3316421917819615
Experiment 1 (0306),interaction,3,navigation_control,0.3467493601186718,0.33251305787664165
Experiment 1 (0306),interaction,3,pace_control,0.19740169730555968,0.39228137202383184
Experiment 1 (0306),interaction,3,personal_conversation,0.22388032312958653,0.20555564734316753
Experiment 1 (0306),interaction,3,user_communication,0.060018093094918436,0.23846088049298053
Experiment 1 (0306),interaction,4,content_control,0.6467810396683789,0.36596628737295245
Experiment 1 (0306),interaction,4,interface_exploration,0.4220772678826768,0.4814203292570745
Experiment 1 (0306),interaction,4,interface_interaction,0.2662439866589924,0.3018180471752721
Experiment 1 (0306),interaction,4,interface_responsiveness,0.3680212198274758,0.42241127828829905
Experiment 1 (0306),interaction,4,interface_sensitivity,0.23846546803551452,0.3346751562950121
Experiment 1 (0306),interaction,4,navigation_control,0.34534638844989174,0.3344740451649821
Experiment 1 (0306),interaction,4,pace_control,0.20432274280990653,0.3852588547954481
Experiment 1 (0306),interaction,4,personal_conversation,0.21051202017802623,0.218767072322403
Experiment 1 (0306),interaction,4,user_communication,0.1192178171844928,0.17995376704692861
Experiment 1 (0306),trust,1,comprehension_ease,0.7156994368905714,0.3300833515177274
Experiment 1 (0306),trust,1,data_trust,0.18914681330611316,0.39382160610097217
Experiment 1 (0306),trust,1,skeptical_rating,0.18298383099191776,0.513993287380881
Experiment 1 (0306),trust,1,usability_difficulty,0.8424422684382885,0.5653522259976922
Experiment 1 (0306),trust,2,comprehension_ease,0.6310094799248434,0.4133234925121435
Experiment 1 (0306),trust,2,data_trust,0.42711315773149017,0.1564261165182308
Experiment 1 (0306),trust,2,skeptical_rating,0.23687508950478695,0.46016573943205874
Experiment 1 (0306),trust,2,usability_difficulty,1.071151416772496,0.3381720660825367
Experiment 1 (0306),trust,3,comprehension_ease,0.7359893177729829,0.30923501297729994
Experiment 1 (0306),trust,3,data_trust,0.32438224838292795,0.2590779135212793
Experiment 1 (0306),trust,3,skeptical_rating,0.34773979682385964,0.34987285943159785
Experiment 1 (0306),trust,3,usability_difficulty,0.9594950553538113,0.44936592306665246
Experiment 1 (0306),trust,4,comprehension_ease,0.5869411820620046,0.5909095269810947
Experiment 1 (0306),trust,4,data_trust,0.2139957374627871,0.45637387215678626
Experiment 1 (0306),trust,4,skeptical_rating,0.22890516888102544,0.5580255582846401
Experiment 1 (0306),trust,4,usability_difficulty,0.7888597892148159,0.7370208158036886
Experiment 2 (0325),interaction,1,content_control,0.1087376798895876,0.4742456461159469
Experiment 2 (0325),interaction,1,interface_exploration,0.1200510117697084,0.5393963227474722
Experiment 2 (0325),interaction,1,interface_interaction,0.09213100658086573,0.31685316506050093
Experiment 2 (0325),interaction,1,interface_responsiveness,0.19389739665338937,0.5645610956583103
Experiment 2 (0325),interaction,1,interface_sensitivity,0.0627982688546668,0.3475548013623743
Experiment 2 (0325),interaction,1,navigation_control,0.12429190360575047,0.3466941761849381
Experiment 2 (0325),interaction,1,pace_control,0.06157140606183144,0.41386909890160023
Experiment 2 (0325),interaction,1,personal_conversation,0.09069026977565767,0.37789193848380326
Experiment 2 (0325),interaction,1,user_communication,0.06538100165187258,0.256788887372568
Experiment 2 (0325),interaction,2,content_control,0.15851795497879276,0.4241204327075845
Experiment 2 (0325),interaction,2,interface_exploration,0.11636078454057419,0.5432166183317109
Experiment 2 (0325),interaction,2,interface_interaction,0.13559187117234955,0.2733552542587454
Experiment 2 (0325),interaction,2,interface_responsiveness,0.2096839840889439,0.5489860642909306
Experiment 2 (0325),interaction,2,interface_sensitivity,0.07234653479460361,0.33803886731393873
Experiment 2 (0325),interaction,2,navigation_control,0.28188789545713416,0.18982348052908005
Experiment 2 (0325),interaction,2,pace_control,0.1224957101329111,0.3526250235081291
Experiment 2 (0325),interaction,2,personal_conversation,0.11643455983684459,0.35211730318984347
Experiment 2 (0325),interaction,2,user_communication,0.07112975782478592,0.25098711155552667
Experiment 2 (0325),interaction,3,content_control,0.16406258368557636,0.41859738644124267
Experiment 2 (0325),interaction,3,interface_exploration,0.2467864399002697,0.41324712303927913
Experiment 2 (0325),interaction,3,interface_interaction,0.1403715574031675,0.2685930833032907
Experiment 2 (0325),interaction,3,interface_responsiveness,0.2759580143509547,0.4824217473080392
Experiment 2 (0325),interaction,3,interface_sensitivity,0.06898196734963694,0.34138913384521596
Experiment 2 (0325),interaction,3,navigation_control,0.28085858021954746,0.19076988173439802
Experiment 2 (0325),interaction,3,pace_control,0.12756514760515006,0.34752945950698233
Experiment 2 (0325),interaction,3,personal_conversation,0.13054942450827767,0.3380025373942597
Experiment 2 (0325),interaction,3,user_communication,0.09799238647549233,0.22414098491292636
Experiment 2 (0325),interaction,4,content_control,0.16671200098643302,0.41609013187274735
Experiment 2 (0325),interaction,4,interface_exploration,0.20998295320937416,0.44915239838313
Experiment 2 (0325),interaction,4,interface_interaction,0.1299147235044833,0.27911737702092876
Experiment 2 (0325),interaction,4,interface_responsiveness,0.4083633340101857,0.35168806063881564
Experiment 2 (0325),interaction,4,interface_sensitivity,0.06709323989542018,0.34330397196391327
Experiment 2 (0325),interaction,4,navigation_control,0.28560659865974164,0.1856193071582632
Experiment 2 (0325),interaction,4,pace_control,0.12910223086744382,0.3461256152436465
Experiment 2 (0325),interaction,4,personal_conversation,0.17055153830967013,0.2976720784973018
Experiment 2 (0325),interaction,4,user_communication,0.11809784325308159,0.2041513102192518
Experiment 2 (0325),trust,1,comprehension_ease,0.46235324373048325,0.3841588060284499
Experiment 2 (0325),trust,1,data_trust,0.22214533928587174,0.2989216387467367
Experiment 2 (0325),trust,1,skeptical_rating,0.3184987050598856,0.4259519802308015
Experiment 2 (0325),trust,1,usability_difficulty,0.4700209647023688,0.4930207521114065
Experiment 2 (0325),trust,2,comprehension_ease,0.527684608313925,0.3179685953768818
Experiment 2 (0325),trust,2,data_trust,0.3062929104976917,0.21581334338037778
Experiment 2 (0325),trust,2,skeptical_rating,0.43340293131587654,0.31172333378250067
Experiment 2 (0325),trust,2,usability_difficulty,0.5784898924320456,0.3839581287074071
Experiment 2 (0325),trust,3,comprehension_ease,0.5350520890680155,0.31095538435384706
Experiment 2 (0325),trust,3,data_trust,0.3106259284104473,0.21141799550961304
Experiment 2 (0325),trust,3,skeptical_rating,0.4411070153926891,0.30466691198554724
Experiment 2 (0325),trust,3,usability_difficulty,0.5869491016708758,0.3758105915498364
Experiment 2 (0325),trust,4,comprehension_ease,0.40798381816364204,0.567902673615341
Experiment 2 (0325),trust,4,data_trust,0.21094797855020386,0.4088822853044775
Experiment 2 (0325),trust,4,skeptical_rating,0.3072231197245766,0.5633647053683037
Experiment 2 (0325),trust,4,usability_difficulty,0.4425357595897575,0.6431210120481463
Experiment 3 (0318/0319/0322),interaction,1,content_control,1.2085688894369198,0.8468274667621578
Experiment 3 (0318/0319/0322),interaction,1,interface_exploration,0.7054360991786002,0.7503033267272307
Experiment 3 (0318/0319/0322),interaction,1,interface_interaction,0.1633255811069654,0.5773974280097403
Experiment 3 (0318/0319/0322),interaction,1,interface_responsiveness,0.4231668848999419,0.7159813317965855
Experiment 3 (0318/0319/0322),interaction,1,interface_sensitivity,0.26613645851648604,0.5120717424223825
Experiment 3 (0318/0319/0322),interaction,1,navigation_control,1.0270553480744946,0.5635437466125199
Experiment 3 (0318/0319/0322),interaction,1,pace_control,0.6367772896856936,0.6218330664334698
Experiment 3 (0318/0319/0322),interaction,1,personal_conversation,0.11163259066868458,0.5065196270110521
Experiment 3 (0318/0319/0322),interaction,1,user_communication,0.0742020959385937,0.4765072262051693
