experiment,block,n_factors,n_rows,n_variables,log_likelihood,n_params_for_aic_bic,AIC,BIC,total_ss_loadings,total_variance_explained
Experiment 1 (0306),interaction,1,1005,9,-9667.285607011494,18.0,19370.571214022988,19459.000584791866,2.0034780033263213,0.22260866703625792
Experiment 1 (0306),interaction,2,1005,9,-9588.814007071536,26.0,19229.628014143073,19357.359327475897,2.4817244475334816,0.27574716083705353
Experiment 1 (0306),interaction,3,1005,9,-9534.693217605978,33.0,19135.386435211956,19297.50694828823,2.705794257049199,0.3006438063387999
Experiment 1 (0306),interaction,4,1005,9,-9522.573245519377,39.0,19123.146491038755,19314.74346103799,2.820987950695356,0.3134431056328173
Experiment 1 (0306),trust,1,1005,4,-4913.28680248007,8.0,9842.57360496014,9881.875547524085,1.9302723496268908,0.4825680874067227
Experiment 1 (0306),trust,2,1005,4,-4863.48931659479,11.0,9748.97863318958,9803.018804215004,2.3661491439336166,0.5915372859834042
Experiment 1 (0306),trust,3,1005,4,-4863.079149310219,13.0,9752.158298620438,9816.02395528685,2.367606418333582,0.5919016045833955
Experiment 1 (0306),trust,4,1005,4,-4863.071796355769,14.0,9754.143592711538,9822.921992198442,1.8187018776206332,0.4546754694051583
Experiment 2 (0325),interaction,1,783,9,-7168.207096027117,18.0,14372.414192054233,14456.350580582068,0.9195499448433301,0.10217221609370335
Experiment 2 (0325),interaction,2,783,9,-7083.071717785858,26.0,14218.143435571716,14339.384885667476,1.2844490528269399,0.14271656142521555
Experiment 2 (0325),interaction,3,783,9,-7057.274587322053,33.0,14180.549174644106,14334.432553611803,1.5331261014980728,0.17034734461089696
Experiment 2 (0325),interaction,4,783,9,-7052.199944816886,39.0,14182.399889633773,14364.262064777415,1.6854244626958335,0.18726938474398147
Experiment 2 (0325),trust,1,783,4,-3587.0222493292345,8.0,7190.044498658469,7227.349560226396,1.4730182527786093,0.36825456319465233
Experiment 2 (0325),trust,2,783,4,-3526.46798590206,11.0,7074.93597180412,7126.230431460019,1.8458703425595389,0.4614675856398847
Experiment 2 (0325),trust,3,783,4,-3526.194447150708,13.0,7078.388894301416,7139.009619349296,1.8737341345420275,0.4684335336355069
Experiment 2 (0325),trust,4,783,4,-3526.18483857162,14.0,7080.36967714324,7145.653534887111,1.36869067602818,0.342172669007045
Experiment 3 (0318/0319/0322),interaction,1,840,9,-9719.268115468984,18.0,19474.536230937967,19559.737464991038,4.616301237506381,0.5129223597229312
Experiment 3 (0318/0319/0322),interaction,2,840,9,-9570.920114862653,26.0,19193.840229725305,19316.908678913078,5.308054743451124,0.5897838603834582
Experiment 3 (0318/0319/0322),interaction,3,840,9,-9549.838486550332,33.0,19165.676973100664,19321.879235531298,5.639280729330254,0.6265867477033615
Experiment 3 (0318/0319/0322),interaction,4,840,9,-9538.299276681193,39.0,19154.598553362386,19339.201227144044,5.923499446565183,0.6581666051739092
Experiment 3 (0318/0319/0322),trust,1,840,4,-4357.688770413248,8.0,8731.377540826496,8769.244755961194,1.8471189677661581,0.46177974194153953
Experiment 3 (0318/0319/0322),trust,2,840,4,-4277.018014714258,11.0,8576.036029428516,8628.103450238728,2.3882629314266577,0.5970657328566644
Experiment 3 (0318/0319/0322),trust,3,840,4,-4276.997891866389,13.0,8579.995783732778,8641.530008326665,2.3952617554428732,0.5988154388607183
Experiment 3 (0318/0319/0322),trust,4,840,4,-4276.987241540253,14.0,8581.974483080507,8648.24210956623,1.9477933686396478,0.48694834215991195
