experiment,block,n_factors,factor,ss_loadings,prop_variance_explained,cum_variance_explained,prop_common_variance
Experiment 1 (0306),interaction,1,Factor 1,2.0034780033263213,0.22260866703625792,0.22260866703625792,1.0
Experiment 1 (0306),interaction,2,Factor 1,2.095217163340866,0.232801907037874,0.232801907037874,0.8442585821416416
Experiment 1 (0306),interaction,2,Factor 2,0.3865072841926157,0.042945253799179524,0.27574716083705353,0.15574141785835843
Experiment 1 (0306),interaction,3,Factor 1,2.1094928428279687,0.2343880936475521,0.2343880936475521,0.7796205632901572
Experiment 1 (0306),interaction,3,Factor 2,0.3219355887271891,0.03577062096968767,0.2701587146172398,0.11898006948919894
Experiment 1 (0306),interaction,3,Factor 3,0.27436582549404115,0.030485091721560127,0.3006438063387999,0.10139936722064394
Experiment 1 (0306),interaction,4,Factor 1,2.113318235120169,0.23481313723557434,0.23481313723557434,0.7491411775081313
Experiment 1 (0306),interaction,4,Factor 2,0.3306475151792107,0.03673861279769008,0.2715517500332644,0.11720982895290571
Experiment 1 (0306),interaction,4,Factor 3,0.2788055231092166,0.03097839145657962,0.30253014148984403,0.09883258205356488
Experiment 1 (0306),interaction,4,Factor 4,0.09821667728675956,0.010912964142973285,0.3134431056328173,0.034816411485398144
Experiment 1 (0306),trust,1,Factor 1,1.9302723496268908,0.4825680874067227,0.4825680874067227,1.0
Experiment 1 (0306),trust,2,Factor 1,2.00286482217293,0.5007162055432325,0.5007162055432325,0.8464660088346152
Experiment 1 (0306),trust,2,Factor 2,0.3632843217606866,0.09082108044017165,0.5915372859834042,0.15353399116538474
Experiment 1 (0306),trust,3,Factor 1,2.011380040586025,0.5028450101465063,0.5028450101465063,0.8495415559828211
Experiment 1 (0306),trust,3,Factor 2,0.291916895673895,0.07297922391847375,0.5758242340649801,0.12329620895324234
Experiment 1 (0306),trust,3,Factor 3,0.06430948207366168,0.01607737051841542,0.5919016045833955,0.027162235063936564
Experiment 1 (0306),trust,4,Factor 1,1.750744884243132,0.437686221060783,0.437686221060783,0.9626343414422556
Experiment 1 (0306),trust,4,Factor 2,0.06795699337750137,0.016989248344375343,0.4546754694051583,0.037365658557744486
Experiment 1 (0306),trust,4,Factor 3,0.0,0.0,0.4546754694051583,0.0
Experiment 1 (0306),trust,4,Factor 4,0.0,0.0,0.4546754694051583,0.0
Experiment 2 (0325),interaction,1,Factor 1,0.9195499448433301,0.10217221609370335,0.10217221609370335,1.0
Experiment 2 (0325),interaction,2,Factor 1,0.9420261287198012,0.10466956985775569,0.10466956985775569,0.7334087145352312
Experiment 2 (0325),interaction,2,Factor 2,0.34242292410713865,0.03804699156745985,0.14271656142521555,0.2665912854647688
Experiment 2 (0325),interaction,3,Factor 1,0.9825506526890014,0.10917229474322238,0.10917229474322238,0.6408805196969224
Experiment 2 (0325),interaction,3,Factor 2,0.35421437658769267,0.039357152954188075,0.14852944769741044,0.2310406014492722
Experiment 2 (0325),interaction,3,Factor 3,0.19636107222137858,0.02181789691348651,0.17034734461089696,0.12807887885380537
Experiment 2 (0325),interaction,4,Factor 1,1.0187077041974797,0.11318974491083107,0.11318974491083107,0.6044220472319825
Experiment 2 (0325),interaction,4,Factor 2,0.3734087864780598,0.04148986516422887,0.15467961007505993,0.221551778049307
Experiment 2 (0325),interaction,4,Factor 3,0.21449287872135914,0.023832542080151016,0.17851215215521093,0.12726341848526285
Experiment 2 (0325),interaction,4,Factor 4,0.07881509329893494,0.008757232588770548,0.18726938474398147,0.046762756233447764
Experiment 2 (0325),trust,1,Factor 1,1.4730182527786093,0.36825456319465233,0.36825456319465233,1.0
Experiment 2 (0325),trust,2,Factor 1,1.5584999849720007,0.3896249962430002,0.3896249962430002,0.8443171489558352
Experiment 2 (0325),trust,2,Factor 2,0.2873703575875381,0.07184258939688452,0.4614675856398847,0.15568285104416477
Experiment 2 (0325),trust,3,Factor 1,1.5652374836289433,0.39130937090723583,0.39130937090723583,0.8353572979079628
Experiment 2 (0325),trust,3,Factor 2,0.29397085410164137,0.07349271352541034,0.46480208443264615,0.15689037664540004
Experiment 2 (0325),trust,3,Factor 3,0.014525796811442965,0.0036314492028607414,0.4684335336355069,0.007752325446637239
Experiment 2 (0325),trust,4,Factor 1,1.3227743762793347,0.3306935940698337,0.3306935940698337,0.9664523909214532
