city_a_estimate,city_b_estimate,click_events,comprehension_ease,condition,condition_id,condition_name,confidence_label,confidence_rating,data_trust,display_format,end_time,hover_events,interaction_log,internal_node_id,participant_id,percent_score,phase,phase1_complete,phase2_complete,predictions_shown,probability_estimate,question_order,response,responses,round,rt,rt_total,skeptical_rating,start_time,stimulus,success,time_elapsed,time_on_viz,total_interactions,total_questions,total_score,travel_choice,trial_index,trial_type,trust_composite,usability_composite,usability_difficulty,view_history,visualization_literacy_score,visualization_shown
,,,,,condition_7_buggy,Buggy Control,,,,broken_interactions,,,,0.0-10.0,66573c811d17794993965781,,2.0,,,,,"[""navigation_control"",""content_control"",""pace_control"",""company_communication"",""interface_responsiveness"",""customer_communication"",""personal_conversation"",""interface_interaction"",""interface_sensitivity""]","{""navigation_control"":5,""content_control"":5,""pace_control"":6,""company_communication"":4,""interface_responsiveness"":4,""customer_communication"":4,""personal_conversation"":0,""interface_interaction"":1,""interface_sensitivity"":4}",,1.0,51268.0,,,,,,618102.0,,,,,,10.0,trust-survey,,,,,,
,,,6.0,,condition_7_buggy,Buggy Control,,,2.0,broken_interactions,,,,0.0-11.0,66573c811d17794993965781,,2.0,,,,,"[""skeptical_rating"",""data_trust"",""usability_difficulty"",""comprehension_ease""]","{""skeptical_rating"":5,""data_trust"":1,""usability_difficulty"":1,""comprehension_ease"":5}",,1.0,11333.90000152588,,6.0,,,,629437.0,,,,,,11.0,trust-survey,2.0,6.0,2.0,,,
,,,,,condition_5_pi_hover,PI Plot + Hover,,,,hover_bounds,,,,0.0-10.0,67aced4b25f62493088645b8,,2.0,,,,,"[""navigation_control"",""content_control"",""pace_control"",""company_communication"",""interface_responsiveness"",""customer_communication"",""personal_conversation"",""interface_interaction"",""interface_sensitivity""]","{""navigation_control"":3,""content_control"":2,""pace_control"":3,""company_communication"":1,""interface_responsiveness"":1,""customer_communication"":1,""personal_conversation"":1,""interface_interaction"":1,""interface_sensitivity"":1}",,1.0,31746.10000002384,,,,,,729135.0,,,,,,10.0,trust-survey,,,,,,
,,,5.0,,condition_5_pi_hover,PI Plot + Hover,,,5.0,hover_bounds,,,,0.0-11.0,67aced4b25f62493088645b8,,2.0,,,,,"[""skeptical_rating"",""data_trust"",""usability_difficulty"",""comprehension_ease""]","{""skeptical_rating"":2,""data_trust"":4,""usability_difficulty"":2,""comprehension_ease"":4}",,1.0,10676.899999976158,,3.0,,,,739813.0,,,,,,11.0,trust-survey,5.0,5.0,3.0,,,
,,,,,condition_7_buggy,Buggy Control,,,,broken_interactions,,,,0.0-8.0,,,2.0,,,,,"[""navigation_control"",""content_control"",""pace_control"",""company_communication"",""interface_responsiveness"",""customer_communication"",""personal_conversation"",""interface_interaction"",""interface_sensitivity""]","{""navigation_control"":3,""content_control"":2,""pace_control"":5,""company_communication"":3,""interface_responsiveness"":5,""customer_communication"":3,""personal_conversation"":4,""interface_interaction"":3,""interface_sensitivity"":4}",,1.0,9219.100000023842,,,,,,86469.0,,,,,,8.0,trust-survey,,,,,,
,,,4.0,,condition_7_buggy,Buggy Control,,,2.0,broken_interactions,,,,0.0-9.0,,,2.0,,,,,"[""skeptical_rating"",""data_trust"",""usability_difficulty"",""comprehension_ease""]","{""skeptical_rating"":3,""data_trust"":1,""usability_difficulty"":4,""comprehension_ease"":3}",,1.0,4967.699999988079,,4.0,,,,91437.0,,,,,,9.0,trust-survey,2.0,4.0,5.0,,,
,,,,,condition_9_combined,Combined PI + Ensemble,,,,combined_pi_ensemble,,,,0.0-10.0,test,,2.0,,,,,"[""navigation_control"",""content_control"",""pace_control"",""company_communication"",""interface_responsiveness"",""customer_communication"",""personal_conversation"",""interface_interaction"",""interface_sensitivity""]","{""navigation_control"":3,""content_control"":3,""pace_control"":3,""company_communication"":3,""interface_responsiveness"":3,""customer_communication"":3,""personal_conversation"":3,""interface_interaction"":3,""interface_sensitivity"":3}",,1.0,6948.5,,,,,,47560.0,,,,,,10.0,trust-survey,,,,,,
,,,4.0,,condition_9_combined,Combined PI + Ensemble,,,4.0,combined_pi_ensemble,,,,0.0-11.0,test,,2.0,,,,,"[""skeptical_rating"",""data_trust"",""usability_difficulty"",""comprehension_ease""]","{""skeptical_rating"":3,""data_trust"":3,""usability_difficulty"":3,""comprehension_ease"":3}",,1.0,3341.5,,4.0,,,,50902.0,,,,,,11.0,trust-survey,4.0,4.0,4.0,,,
,,,,,condition_9_combined,Combined PI + Ensemble,,,,combined_pi_ensemble,,,,0.0-10.0,62e199458482518274623771,,2.0,,,,,"[""navigation_control"",""content_control"",""pace_control"",""company_communication"",""interface_responsiveness"",""customer_communication"",""personal_conversation"",""interface_interaction"",""interface_sensitivity""]","{""navigation_control"":4,""content_control"":2,""pace_control"":5,""company_communication"":1,""interface_responsiveness"":1,""customer_communication"":0,""personal_conversation"":0,""interface_interaction"":0,""interface_sensitivity"":0}",,1.0,47497.30000001192,,,,,,606505.0,,,,,,10.0,trust-survey,,,,,,
,,,3.0,,condition_9_combined,Combined PI + Ensemble,,,2.0,combined_pi_ensemble,,,,0.0-11.0,62e199458482518274623771,,2.0,,,,,"[""skeptical_rating"",""data_trust"",""usability_difficulty"",""comprehension_ease""]","{""skeptical_rating"":5,""data_trust"":1,""usability_difficulty"":4,""comprehension_ease"":2}",,1.0,18454.09999999404,,6.0,,,,624960.0,,,,,,11.0,trust-survey,2.0,3.0,5.0,,,
