city_a_estimate,city_b_estimate,click_events,comprehension_ease,condition,condition_id,condition_name,confidence_label,confidence_rating,data_trust,display_format,end_time,hover_events,interaction_log,internal_node_id,participant_id,percent_score,phase,phase1_complete,phase2_complete,predictions_shown,probability_estimate,question_order,response,responses,round,rt,rt_total,skeptical_rating,start_time,stimulus,time_elapsed,time_on_viz,total_interactions,total_questions,total_score,travel_choice,trial_index,trial_type,trust_composite,usability_composite,usability_difficulty,view_history,visualization_literacy_score,visualization_shown
,,,,,,,,,,,,,,0.0-0.0,,,,,,,,,0,,,1290,,,,"
	        <div class=""welcome-screen"">
	            <h1>Air Quality Prediction Study</h1>
	            <p>Welcome! You are about to participate in a research study about how people make decisions using air quality predictions. This study examines how different ways of presenting prediction information affect trust and decision-making. The study will take approximately 15 minutes.</p>
	            <div class=""study-info"">
	                <h3>What you'll do:</h3>
	                <ul>
	                    <li>Complete a brief assessment of visualization understanding</li>
	                    <li>Make predictions about air quality in two cities</li>
	                    <li>Answer questions about your confidence and trust</li>
						<li>Report basic demographic data</li>
	                </ul>
	            </div>
	        </div>
	    ",1291,,,,,,0,html-button-response,,,,,,
,,,,,,,,,,,,,,0.0-1.0,,,,,,,,,0,,,16184,,,,"
	        <div class=""consent-form"">
	            <h2>Consent Form</h2>
	            <div class=""consent-header"">
	                <p><strong>Principal Investigator:</strong> Dr. Cindy Xiong Bearfield, Assistant Professor</p>
	                <p><strong>Study Title:</strong> Trusting What We See: Effect of Interactivity in Visual Data Analysis</p>
	                <p><strong>Supported By:</strong> Georgia Institute of Technology</p>
	            </div>
	            
	            <div class=""consent-details"">
	                <h3>WHAT IS THIS FORM?</h3>
	                <p>This form is called a Consent Form. It will give you information about the study so you can make an informed decision about participation in this research. We encourage you to take some time to think this over and ask questions now and at any other time. If you decide to participate, you will be asked to sign this form and you will be given a copy for your records.</p>

	                <h3>WHAT ARE SOME OF THE IMPORTANT ASPECTS OF THIS RESEARCH STUDY THAT I SHOULD BE AWARE OF?</h3>
	                <ul>
	                    <li>Whether or not you take part is up to you.</li>
	                    <li>You can choose not to take part.</li>
	                    <li>You can agree to take part and later change your mind.</li>
	                    <li>Your decision will not be held against you.</li>
	                </ul>

	                <h3>WHY ARE WE DOING THIS RESEARCH STUDY?</h3>
	                <p>The purpose of our study is to explore the visualization design space so we can understand how people perceive, interpret, and make decisions from visualizations. The results from this study can help us design visualizations and visualization guidelines to help people better communicate and understand data.</p>

	                <h3>WHO CAN PARTICIPATE IN THIS RESEARCH STUDY?</h3>
	                <p>Participants in this study must be at least 18 years of age or older and have general familiarity with using web-based systems. Participants currently outside of the U.S. cannot participate in this study (e.g. in the European Union or China).</p>

	                <h3>WHAT COMPENSATION I WILL RECEIVE?</h3>
	                <p>You will receive payment through Prolific worth $12/hour for participating in this study. We expect this study to take less than 20 minutes. Your participation is entirely voluntary. You are free to withdraw at any time, and if you do, you will receive partial payment for your time.</p>

	                <h3>HOW MANY PEOPLE WILL PARTICIPATE?</h3>
	                <p>We expect about 200 people will be in this research study.</p>

	                <h3>WHAT WILL I BE ASKED TO DO AND HOW MUCH TIME WILL IT TAKE?</h3>
	                <p>We will show you several data visualizations or components of a visualization and ask you to perform a visual task with the visualization on a computer screen, such as counting, searching, recognizing, memorizing, or describing the information presented to you. We may also ask you to fill out questionnaires concerning your thoughts regarding the visualization you saw. We expect that you will be in this research study to take between 15 and 60 minutes. We expect this study to be a one-off session and will not contact you regarding the study itself in the future.</p>

	                <h3>WILL BEING IN THIS RESEARCH STUDY HELP ME IN ANY WAY?</h3>
	                <p>You are not likely to have any direct benefit from being in this research study. The potential benefits to you from participation may include learning about how data visualization research is conducted, and you may learn about issues of current interest in data visualization and psychology.</p>

	                <h3>WHAT ARE MY RISKS OF BEING IN THIS RESEARCH STUDY?</h3>
	                <p>Your participation in this study does not involve any risks other than what you would encounter in daily life. In particular, you may experience fatigue or boredom, however, you may take breaks between tasks. The effects of participating should be comparable to those you would experience from viewing a computer monitor and using a keyboard. You may withdraw at any time.</p>

	                <h3>HOW WILL MY PERSONAL INFORMATION BE PROTECTED?</h3>
	                <p>We will comply with any applicable laws and regulations regarding confidentiality. To make sure that this research is being carried out in the proper way, the Georgia Institute of Technology IRB may review study records. The Office of Human Research Protections may also look at study records.</p>
	                <p>Efforts will be made to limit the use and disclosure of your personal information, including research study records, to people who need to review this information. We cannot promise complete secrecy. Organizations that may inspect and copy your information include the IRB and other representatives of this institution. Please be notified that our data privacy policy is based on U.S. regulations. Participants who are out of the U.S. might be excluded due to different data privacy requirements.</p>
	                <p><strong>Data Sharing:</strong> De-identified data from this study will be shared among the GATech research team, as well as the research community at large to advance science and health. We will remove or code any personal information that could identify you before files are shared with other researchers to ensure that, by current scientific standards and known methods, no one will be able to identify you from the information we share. Despite these measures, we cannot guarantee the anonymity of your personal data.</p>

	                <h3>WILL I BE GIVEN ANY MONEY OR OTHER COMPENSATION FOR BEING IN THIS RESEARCH STUDY?</h3>
	                <p>If you agree to take part in this research study, we will provide compensation. You will be paid in accordance with the stated policies of Amazon Mechanical Turk and/or Prolific.com. Payment will be made upon completion and acceptance of tasks that you have agreed to complete and you will be paid via Mechanical Turk or Prolific.com. If you choose to withdraw from the study, you will not be compensated for your participation.</p>

	                <h3>WHAT ELSE DO I NEED TO KNOW?</h3>
	                <p>We might be using attention check questions in our surveys. If you miss 2 or more attention check questions, your HIT will not be accepted and you will not be compensated.</p>

	                <h3>WHO CAN I TALK TO IF I HAVE QUESTIONS?</h3>
	                <p>If you have any questions about the content of this research project, you may contact Dr. Cindy Xiong Bearfield at cxiong@gatech.edu, or contact Songwen Hu at shu343@gatech.edu. If you have any questions about your rights as a research subject, you may also contact Georgia Institute of Technology Office of Research Integrity Assurance at IRB@gatech.edu.</p>

	                <h3>WHAT HAPPENS IF I SAY YES, BUT I CHANGE MY MIND LATER?</h3>
	                <p>You can decide not to participate in this research or you can start and then decide to leave the research at any time and it will not be held against you. To do so, simply exit the experiment. Any data already collected will not be saved.</p>

	                <p><strong>By clicking ""I agree"" below you are indicating that you are at least 18 years old, currently in the U.S., have read this consent form, and agree to participate in this research study. Please print a copy of this page for your records.</strong></p>
	            </div>
	        </div>
	    ",17477,,,,,,1,html-button-response,,,,,,
,,,,,,,,,,,,,,0.0-2.0,,,,,,,,,0,,,774,,,,"
	        <div class=""vis-literacy-intro"">
	            <h2>Visualization Assessment</h2>
	            <p>Before we begin the main study, we'd like to assess your ability to read and interpret data visualizations.</p>
	            
	            <div class=""assessment-info"">
	                <h3>What you'll do:</h3>
	                <ul>
	                    <li>View 12 different data visualizations (charts and graphs)</li>
	                    <li>Answer questions about what each visualization shows</li>
	                    <li>Take your time to examine each chart carefully</li>
	                </ul>
	                
	                <p><strong>This assessment will take approximately 5-10 minutes.</strong></p>
	                <p>There are no right or wrong interpretations - we're interested in how you read visualizations.</p>
	            </div>
	        </div>
	    ",18252,,,,,,2,html-button-response,,,,,,
,,,,,condition_7_buggy,Buggy Control,,,,,,,,0.0-3.0,,33,,,,,,,,"[{""question_id"":""minivlat_1"",""question_type"":""line_chart"",""question_text"":""What was the price range of a barrel of oil in 2020?"",""response"":0,""correct_answer"":0,""is_correct"":true,""rt"":2490.100000023842},{""question_id"":""minivlat_2"",""question_type"":""bar_chart"",""question_text"":""What is the range of the average internet speed in Asia?"",""response"":3,""correct_answer"":3,""is_correct"":true,""rt"":1603.5999999642372},{""question_id"":""minivlat_3"",""question_type"":""stacked_bar"",""question_text"":""What is the cost of peanuts in Las Vegas?"",""response"":3,""correct_answer"":1,""is_correct"":false,""rt"":5990.900000035763},{""question_id"":""minivlat_4"",""question_type"":""stacked_100_bar"",""question_text"":""What is the approval rating of Republicans among postgraduate-educated people?"",""response"":3,""correct_answer"":1,""is_correct"":false,""rt"":780.8999999761581},{""question_id"":""minivlat_5"",""question_type"":""pie_chart"",""question_text"":""About what is the global smartphone market share of Samsung?"",""response"":3,""correct_answer"":1,""is_correct"":false,""rt"":1453.300000011921},{""question_id"":""minivlat_6"",""question_type"":""histogram"",""question_text"":""How many people have rated the taxi between 4.2 and 4.4?"",""response"":3,""correct_answer"":1,""is_correct"":false,""rt"":2177.599999964237},{""question_id"":""minivlat_7"",""question_type"":""scatter_plot"",""question_text"":""There is a negative linear relationship between the height and the weight of the 85 males."",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":3006.600000023842},{""question_id"":""minivlat_8"",""question_type"":""area_chart"",""question_text"":""What was the average price of a pound of coffee beans in September 2013?"",""response"":3,""correct_answer"":0,""is_correct"":false,""rt"":1277.800000011921},{""question_id"":""minivlat_9"",""question_type"":""stacked_area"",""question_text"":""What was the number of girls named 'Olivia' in 2010 in the UK?"",""response"":3,""correct_answer"":2,""is_correct"":false,""rt"":875},{""question_id"":""minivlat_10"",""question_type"":""bubble_chart"",""question_text"":""What is the total length of the metro system in Beijing?"",""response"":3,""correct_answer"":0,""is_correct"":false,""rt"":955.2999999523163},{""question_id"":""minivlat_11"",""question_type"":""choropleth"",""question_text"":""In 2015, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI)."",""response"":1,""correct_answer"":0,""is_correct"":false,""rt"":991.1000000238419},{""question_id"":""minivlat_12"",""question_type"":""bubble_chart_multi"",""question_text"":""For which website was the number of unique visitors the largest in 2010?"",""response"":3,""correct_answer"":3,""is_correct"":true,""rt"":2719.899999976158}]",,,24322.099999964237,,,,42575,,,12,4,,3,vis-literacy,,,,,,
,,,,,,,,,,,,,,0.0-4.0,,,,,,,,,,,,889,,,,,43465,,,,,,4,instructions,,,,"[{""page_index"":0,""viewing_time"":889}]",,
1,1,,,,condition_0_historical,Historical Only,Neutral,4,,historical_only,,,"[{""type"":""chart_enter"",""data"":{""timestamp"":115.90000003576279},""timestamp"":115.90000003576279},{""type"":""chart_hover"",""data"":{""x"":809,""y"":418,""timestamp"":224.60000002384186},""timestamp"":224.60000002384186},{""type"":""chart_hover"",""data"":{""x"":809,""y"":419,""timestamp"":241.10000002384186},""timestamp"":241.10000002384186},{""type"":""chart_hover"",""data"":{""x"":808,""y"":421,""timestamp"":249.4000000357628},""timestamp"":249.4000000357628},{""type"":""chart_hover"",""data"":{""x"":807,""y"":422,""timestamp"":257.80000001192093},""timestamp"":257.80000001192093},{""type"":""chart_hover"",""data"":{""x"":807,""y"":423,""timestamp"":266.10000002384186},""timestamp"":266.10000002384186},{""type"":""chart_hover"",""data"":{""x"":806,""y"":424,""timestamp"":274.4000000357628},""timestamp"":274.4000000357628},{""type"":""chart_hover"",""data"":{""x"":806,""y"":425,""timestamp"":468.10000002384186},""timestamp"":468.10000002384186},{""type"":""chart_hover"",""data"":{""x"":805,""y"":425,""timestamp"":482},""timestamp"":482},{""type"":""chart_hover"",""data"":{""x"":805,""y"":426,""timestamp"":482.69999998807907},""timestamp"":482.69999998807907},{""type"":""chart_hover"",""data"":{""x"":803,""y"":427,""timestamp"":491.10000002384186},""timestamp"":491.10000002384186},{""type"":""chart_hover"",""data"":{""x"":802,""y"":428,""timestamp"":499.4000000357628},""timestamp"":499.4000000357628},{""type"":""chart_hover"",""data"":{""x"":801,""y"":430,""timestamp"":507.69999998807907},""timestamp"":507.69999998807907},{""type"":""chart_hover"",""data"":{""x"":799,""y"":432,""timestamp"":516},""timestamp"":516},{""type"":""chart_hover"",""data"":{""x"":797,""y"":433,""timestamp"":524.4000000357628},""timestamp"":524.4000000357628},{""type"":""chart_hover"",""data"":{""x"":794,""y"":434,""timestamp"":532.6000000238419},""timestamp"":532.6000000238419},{""type"":""chart_hover"",""data"":{""x"":793,""y"":435,""timestamp"":541.1999999880791},""timestamp"":541.1999999880791},{""type"":""chart_hover"",""data"":{""x"":792,""y"":436,""timestamp"":549.4000000357628},""timestamp"":549.4000000357628},{""type"":""chart_hover"",""data"":{""x"":790,""y"":438,""timestamp"":557.9000000357628},""timestamp"":557.9000000357628},{""type"":""chart_hover"",""data"":{""x"":787,""y"":439,""timestamp"":566.1000000238419},""timestamp"":566.1000000238419},{""type"":""chart_hover"",""data"":{""x"":786,""y"":440,""timestamp"":574.4000000357628},""timestamp"":574.4000000357628},{""type"":""chart_hover"",""data"":{""x"":784,""y"":441,""timestamp"":582.8000000119209},""timestamp"":582.8000000119209},{""type"":""chart_hover"",""data"":{""x"":782,""y"":442,""timestamp"":591.5},""timestamp"":591.5},{""type"":""chart_hover"",""data"":{""x"":781,""y"":443,""timestamp"":599},""timestamp"":599},{""type"":""chart_hover"",""data"":{""x"":780,""y"":443,""timestamp"":607.6999999880791},""timestamp"":607.6999999880791},{""type"":""chart_hover"",""data"":{""x"":779,""y"":444,""timestamp"":616.4000000357628},""timestamp"":616.4000000357628},{""type"":""chart_hover"",""data"":{""x"":779,""y"":445,""timestamp"":624.8000000119209},""timestamp"":624.8000000119209},{""type"":""chart_hover"",""data"":{""x"":778,""y"":446,""timestamp"":632.8000000119209},""timestamp"":632.8000000119209},{""type"":""chart_hover"",""data"":{""x"":778,""y"":447,""timestamp"":641.4000000357628},""timestamp"":641.4000000357628},{""type"":""chart_hover"",""data"":{""x"":777,""y"":448,""timestamp"":649.5},""timestamp"":649.5},{""type"":""chart_hover"",""data"":{""x"":776,""y"":448,""timestamp"":657.8000000119209},""timestamp"":657.8000000119209},{""type"":""chart_hover"",""data"":{""x"":776,""y"":449,""timestamp"":666},""timestamp"":666},{""type"":""chart_hover"",""data"":{""x"":775,""y"":450,""timestamp"":674.3000000119209},""timestamp"":674.3000000119209},{""type"":""chart_hover"",""data"":{""x"":775,""y"":451,""timestamp"":691.1000000238419},""timestamp"":691.1000000238419},{""type"":""chart_hover"",""data"":{""x"":775,""y"":452,""timestamp"":699.8000000119209},""timestamp"":699.8000000119209},{""type"":""chart_hover"",""data"":{""x"":774,""y"":453,""timestamp"":715.8000000119209},""timestamp"":715.8000000119209},{""type"":""chart_hover"",""data"":{""x"":774,""y"":454,""timestamp"":724.1999999880791},""timestamp"":724.1999999880791},{""type"":""chart_hover"",""data"":{""x"":773,""y"":455,""timestamp"":732.5},""timestamp"":732.5},{""type"":""chart_hover"",""data"":{""x"":772,""y"":458,""timestamp"":741.1000000238419},""timestamp"":741.1000000238419},{""type"":""chart_hover"",""data"":{""x"":770,""y"":462,""timestamp"":749.4000000357628},""timestamp"":749.4000000357628},{""type"":""chart_hover"",""data"":{""x"":768,""y"":463,""timestamp"":757.6999999880791},""timestamp"":757.6999999880791},{""type"":""chart_hover"",""data"":{""x"":768,""y"":466,""timestamp"":766.1000000238419},""timestamp"":766.1000000238419},{""type"":""chart_hover"",""data"":{""x"":766,""y"":473,""timestamp"":774.4000000357628},""timestamp"":774.4000000357628},{""type"":""chart_hover"",""data"":{""x"":763,""y"":476,""timestamp"":782.6999999880791},""timestamp"":782.6999999880791},{""type"":""chart_hover"",""data"":{""x"":762,""y"":477,""timestamp"":791.3000000119209},""timestamp"":791.4000000357628},{""type"":""chart_hover"",""data"":{""x"":761,""y"":482,""timestamp"":800.6000000238419},""timestamp"":800.6000000238419},{""type"":""chart_hover"",""data"":{""x"":760,""y"":483,""timestamp"":810.5},""timestamp"":810.5},{""type"":""chart_hover"",""data"":{""x"":760,""y"":484,""timestamp"":818.9000000357628},""timestamp"":818.9000000357628},{""type"":""chart_leave"",""data"":{""timestamp"":860.9000000357628},""timestamp"":860.9000000357628}]",0.0-5.0,,,1,,,false,50,,,,1,5174.800000011921,,,,,48640,,49,,,No Preference,5,prediction-task,,,,,,true
1,1,0,,,condition_7_buggy,Buggy Control,Somewhat Uncertain,3,,broken_interactions,,0,"[]",0.0-6.0,,,2,,,true,50,,,,1,3116,,,,,51757,0,0,,,No Preference,6,prediction-task,,,,,,true
,,,,,,,,,,,,,,0.0-7.0,,,,,,,,,0,,,1772,,,,"
			<div class=""section-intro"">
				<h2>Trust & Experience Assessment</h2>
				<p>Thank you for completing the prediction tasks!</p>
				<p>Now we'd like to understand your experience with the forecast visualization you just used.</p>
			</div>
		",53530,,,,,,7,html-button-response,,,,,,
,,,,,condition_7_buggy,Buggy Control,,,,broken_interactions,,,,0.0-8.0,,,2,,,,,"[""navigation_control"",""content_control"",""pace_control"",""company_communication"",""interface_responsiveness"",""customer_communication"",""personal_conversation"",""interface_interaction"",""interface_sensitivity""]","{""navigation_control"":3,""content_control"":3,""pace_control"":3,""company_communication"":3,""interface_responsiveness"":3,""customer_communication"":3,""personal_conversation"":3,""interface_interaction"":3,""interface_sensitivity"":3}",,1,6793.399999976158,,,,,60324,,,,,,8,trust-survey,,,,,,
,,,4,,condition_7_buggy,Buggy Control,,,4,broken_interactions,,,,0.0-9.0,,,2,,,,,"[""skeptical_rating"",""data_trust"",""usability_difficulty"",""comprehension_ease""]","{""skeptical_rating"":3,""data_trust"":3,""usability_difficulty"":3,""comprehension_ease"":3}",,1,2846.400000035763,,4,,,63171,,,,,,9,trust-survey,4,4,4,,,
